"Index","MethodName","MethodSignature","LOC","CyclomaticComplexity","Churn","LocAdded","fan-in","fan-out","NewcomerRisk","Auth","WeekendCommit","nSmell","isBuggy"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java::tryLock","(long, long, boolean)","6","1","0","0","0","0","0.0","0","0","0","No"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java::write","(ByteBuffer)","5","1","0","0","0","0","0.0","0","0","0","No"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java::write","(ByteBuffer, long)","5","1","0","0","0","0","0.0","0","0","0","No"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java::write","(ByteBuffer[], int, int)","6","1","0","0","0","0","0.0","0","0","0","No"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java::implCloseChannel","()","5","1","0","0","0","0","0.0","0","0","0","No"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java::create","(int)","40","19","4","4","0","0","1.0","1","0","0","No"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java::getMessage","(int)","42","20","4","4","0","0","1.0","1","0","0","No"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java::process","(WatchedEvent)","7","2","51","38","0","4","1.0","1","0","0","Yes"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java::asyncCreateLedger","(int, int, DigestType, byte[], CreateCallback, Object)","7","1","40","37","0","1","1.0","2","0","0","Yes"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java::createLedger","(DigestType, byte[])","4","1","51","49","0","1","1.0","2","0","0","No"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java::createLedger","(int, int, DigestType, byte[])","22","2","264","237","0","7","1.0","2","0","1","No"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java::asyncOpenLedger","(long, DigestType, byte[], OpenCallback, Object)","4","1","202","199","0","1","1.0","1","0","0","Yes"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java::asyncOpenLedgerNoRecovery","(long, DigestType, byte[], OpenCallback, Object)","4","1","203","200","0","1","1.0","2","0","0","Yes"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java::openLedger","(long, DigestType, byte[])","19","2","251","234","0","6","1.0","2","0","0","No"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java::openLedgerNoRecovery","(long, DigestType, byte[])","20","2","262","259","0","6","1.0","2","0","0","No"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java::asyncDeleteLedger","(long, DeleteCallback, Object)","3","1","262","259","0","1","1.0","2","0","0","Yes"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java::deleteLedger","(long)","12","2","262","259","0","7","1.0","2","0","1","No"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java::close","()","13","3","61","61","0","4","1.0","1","0","0","Yes"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java::createComplete","(int, LedgerHandle, Object)","6","1","0","0","0","3","0.0","0","0","0","No"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java::openComplete","(int, LedgerHandle, Object)","9","1","0","0","0","4","0.0","0","0","1","No"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java::deleteComplete","(int, Object)","5","1","0","0","0","2","0.0","0","0","0","No"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java::createComplete","(int, LedgerHandle, Object)","6","1","0","0","0","3","0.0","0","0","0","No"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java::openComplete","(int, LedgerHandle, Object)","9","1","0","0","0","4","0.0","0","0","1","No"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java::deleteComplete","(int, Object)","5","1","0","0","0","2","0.0","0","0","0","No"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java::process","(WatchedEvent)","6","2","738","737","0","4","1.0","1","0","0","No"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java::close","()","4","1","714","714","0","1","1.0","1","0","0","No"
