"Index","MethodName","MethodSignature","LOC","CyclomaticComplexity","Churn","LocAdded","fan-in","fan-out","NewcomerRisk","Auth","WeekendCommit","nSmell","isBuggy"
"1","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/ClassTableJDBCSeq.java::getStatus","(ClassMapping)","11","3","262","262","0","3","1.0","1","0","0","No"
"1","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/ClassTableJDBCSeq.java::addPrimaryKeyColumn","(Table)","9","1","266","264","0","9","1.0","1","0","0","No"
"1","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/ClassTableJDBCSeq.java::getPrimaryKey","(ClassMapping)","5","2","262","262","0","1","1.0","1","0","0","No"
"1","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/ClassTableJDBCSeq.java::getKey","(ClassMapping, boolean)","12","5","262","262","0","6","1.0","1","0","2","No"
"1","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/ClassTableJDBCSeq.java::run","(JDBCConfiguration, String[], Options)","9","3","265","263","0","4","1.0","1","0","0","No"
"1","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/ClassTableJDBCSeq.java::run","(JDBCConfiguration, String[], String, MappingRepository, ClassLoader)","65","13","277","269","0","23","1.0","2","0","5","No"
"1","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/DelegatingJDBCFetchConfiguration.java::getEagerFetchMode","()","7","1","233","233","0","3","1.0","1","0","0","No"
"1","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/DelegatingJDBCFetchConfiguration.java::setEagerFetchMode","(int)","8","1","233","233","0","3","1.0","1","0","0","No"
"1","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/DelegatingJDBCFetchConfiguration.java::getSubclassFetchMode","()","7","1","233","233","0","3","1.0","1","0","0","No"
"1","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/DelegatingJDBCFetchConfiguration.java::getSubclassFetchMode","(ClassMapping)","7","1","233","233","0","3","1.0","1","0","0","No"
"1","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/DelegatingJDBCFetchConfiguration.java::setSubclassFetchMode","(int)","8","1","233","233","0","3","1.0","1","0","0","No"
"1","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/DelegatingJDBCFetchConfiguration.java::getResultSetType","()","7","1","233","233","0","3","1.0","1","0","0","No"
"1","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/DelegatingJDBCFetchConfiguration.java::setResultSetType","(int)","8","1","233","233","0","3","1.0","1","0","0","No"
"1","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/DelegatingJDBCFetchConfiguration.java::getFetchDirection","()","7","1","233","233","0","3","1.0","1","0","0","No"
"1","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/DelegatingJDBCFetchConfiguration.java::setFetchDirection","(int)","8","1","233","233","0","3","1.0","1","0","0","No"
"1","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/DelegatingJDBCFetchConfiguration.java::getLRSSize","()","7","1","233","233","0","3","1.0","1","0","0","No"
"1","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/DelegatingJDBCFetchConfiguration.java::setLRSSize","(int)","8","1","233","233","0","3","1.0","1","0","0","No"
"1","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/DelegatingJDBCFetchConfiguration.java::getJoinSyntax","()","7","1","233","233","0","3","1.0","1","0","0","No"
"1","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/DelegatingJDBCFetchConfiguration.java::setJoinSyntax","(int)","8","1","235","234","0","3","1.0","2","0","0","No"
"1","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/DelegatingJDBCFetchConfiguration.java::getJoins","()","7","1","233","233","0","3","1.0","1","0","0","No"
"1","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/DelegatingJDBCFetchConfiguration.java::hasJoin","(String)","7","1","233","233","0","3","1.0","1","0","0","No"
"1","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/DelegatingJDBCFetchConfiguration.java::addJoin","(String)","8","1","233","233","0","3","1.0","1","0","0","No"
"1","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/DelegatingJDBCFetchConfiguration.java::addJoins","(Collection)","8","1","233","233","0","3","1.0","1","0","0","No"
"1","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/DelegatingJDBCFetchConfiguration.java::removeJoin","(String)","8","1","233","233","0","3","1.0","1","0","0","No"
"1","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/DelegatingJDBCFetchConfiguration.java::removeJoins","(Collection)","8","1","233","233","0","3","1.0","1","0","0","No"
"1","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/DelegatingJDBCFetchConfiguration.java::clearJoins","()","8","1","241","241","0","3","1.0","2","1","0","No"
"1","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/DelegatingJDBCFetchConfiguration.java::traverseJDBC","(FieldMetaData)","7","1","8","8","0","3","1.0","1","1","0","No"
"1","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/GenericResultObjectProvider.java::supportsRandomAccess","()","7","1","127","127","1","1","1.0","1","0","0","No"
"1","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/GenericResultObjectProvider.java::open","()","2","1","127","127","0","0","1.0","1","0","0","No"
"1","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/GenericResultObjectProvider.java::next","()","4","1","127","127","0","1","1.0","1","0","0","No"
"1","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/GenericResultObjectProvider.java::absolute","(int)","4","1","127","127","0","1","1.0","1","0","0","No"
"1","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/GenericResultObjectProvider.java::size","()","7","3","127","127","0","3","1.0","1","0","0","No"
"1","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/GenericResultObjectProvider.java::reset","()","3","1","127","127","0","0","1.0","1","0","0","No"
